amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha_annual,max_drawdown_pct,expense_ratio_pct,rank_cagr,rank_sharpe,rank_alpha,rank_expense,rank_dd,score_cagr,score_sharpe,score_alpha,score_expense,score_dd,fund_score,rank
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.67,0.926,20.87,-15.27,1.52,24.0,15.0,14.0,26.0,19.0,42.5,65.0,67.5,37.5,55.00000000000001,53.62,19
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.99,0.798,17.7,-13.9,1.42,25.0,17.0,17.0,20.0,14.0,40.0,60.0,60.0,52.5,67.5,53.62,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,17.85,0.649,16.25,-19.83,1.41,21.0,20.0,20.0,19.0,27.0,50.0,52.5,52.5,55.00000000000001,35.0,50.38,21
120507,ICICI Pru Liquid Fund - Regular - Growth,7.39,0.496,6.75,-0.1,0.74,27.0,23.0,31.0,7.0,1.0,35.0,45.0,25.0,85.0,100.0,49.5,22
119093,Axis Bluechip Fund - Direct - Growth,20.19,0.13,8.23,-21.75,0.75,16.0,29.0,28.0,8.0,31.0,62.5,30.0,32.5,82.5,25.0,47.62,23
102887,UTI Flexi Cap Fund - Regular - Growth,24.79,0.62,16.21,-21.54,1.64,13.0,22.0,21.0,39.0,30.0,70.0,47.5,50.0,5.0,27.500000000000004,46.38,24
149322,DSP Top 100 Equity Fund - Regular - Growth,17.98,0.464,13.17,-14.84,1.54,20.0,25.0,24.0,30.0,16.0,52.5,40.0,42.5,27.500000000000004,62.5,44.62,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.67,0.301,11.99,-21.12,0.78,26.0,27.0,26.0,10.0,29.0,37.5,35.0,37.5,77.5,30.0,42.12,26
120844,Kotak Liquid Fund - Regular - Growth,6.71,-0.089,6.46,-0.12,0.6,30.0,34.0,32.0,3.0,2.0,27.500000000000004,17.5,22.5,95.0,97.5,41.12,27
120841,Kotak Bluechip Fund - Regular - Growth,17.22,0.494,13.04,-17.57,1.59,22.0,24.0,25.0,35.0,24.0,47.5,42.5,40.0,15.0,42.5,39.38,28
118634,Nippon India Small Cap Fund - Regular - Growth,7.25,0.448,17.5,-23.34,1.53,28.0,26.0,18.0,28.0,32.0,32.5,37.5,57.49999999999999,32.5,22.5,37.75,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,3.83,-0.357,5.07,-8.32,0.55,34.0,38.0,35.0,1.0,6.0,17.5,7.5,15.0,100.0,87.5,33.88,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.92,-0.227,5.62,-4.33,0.77,32.0,37.0,34.0,9.0,5.0,22.5,10.0,17.5,80.0,90.0,33.75,31
101208,ABSL Liquid Fund - Regular - Growth,6.32,-0.816,6.09,-0.16,0.79,31.0,40.0,33.0,11.0,3.0,25.0,2.5,20.0,75.0,95.0,32.88,32
100025,HDFC Short Term Debt Fund - Regular - Growth,3.91,-0.567,4.28,-4.31,0.56,33.0,39.0,38.0,2.0,4.0,20.0,5.0,7.5,97.5,92.5,32.62,33
120842,Kotak Emerging Equity Fund - Regular - Growth,6.91,0.076,7.8,-24.0,1.56,29.0,30.0,29.0,33.0,33.0,30.0,27.500000000000004,30.0,20.0,20.0,26.88,34
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.17,-0.057,4.88,-52.57,0.72,38.0,32.0,36.0,5.0,40.0,7.5,22.5,12.5,90.0,2.5,24.12,35
119092,Axis Bluechip Fund - Regular - Growth,1.23,0.031,6.9,-14.4,1.64,35.0,31.0,30.0,39.0,15.0,15.0,25.0,27.500000000000004,5.0,65.0,23.5,36
101207,ABSL Small Cap Fund - Regular - Growth,-4.7,0.163,10.9,-35.45,1.53,39.0,28.0,27.0,28.0,38.0,5.0,32.5,35.0,32.5,7.5,22.25,37
119095,Axis Small Cap Fund - Regular - Growth,-10.95,-0.076,4.8,-51.68,1.38,40.0,33.0,37.0,16.0,39.0,2.5,20.0,10.0,62.5,5.0,17.62,38
102886,UTI Mid Cap Fund - Regular - Growth,-0.95,-0.206,2.9,-28.0,1.51,37.0,36.0,40.0,24.0,35.0,10.0,12.5,2.5,42.5,15.0,14.5,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.03,-0.202,3.75,-24.73,1.55,36.0,35.0,39.0,32.0,34.0,12.5,15.0,5.0,22.5,17.5,13.62,40
